,repo_name,link,id_oai,status_code,internal_error,messege
78,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/306,200,NaN,NaN
79,Repositorio COLSAN,https://colsan.repositorioinstitucional.mx/oai/request,oai:colsan.repositorioinstitucional.mx:1013/1569,200,NaN,NaN
80,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/850,200,NaN,NaN
81,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/90,200,NaN,NaN
82,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/741,200,NaN,NaN
83,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/140,200,NaN,NaN
84,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/559,200,NaN,NaN
85,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/292,200,NaN,NaN
86,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/785,200,NaN,NaN
87,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/570,200,NaN,NaN
88,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/384,200,NaN,NaN
89,Repositorio Institucional INECOL,https://inecol.repositorioinstitucional.mx/oai/request,oai:inecol.repositorioinstitucional.mx:1005/469,200,NaN,NaN
90,Repositorio Institucional CICY,https://cicy.repositorioinstitucional.mx/oai/request,oai:cicy.repositorioinstitucional.mx:1003/603,200,NaN,NaN
